instrument_id,ticker,name,asset_type,sector,telda_available,telda_verified_on
SWDY,SWDY,Elsewedy Electric,EQUITY,,true,2026-08-25
ELWA,ELWA,ELWA,EQUITY,,true,2026-08-25
EMFD,EMFD,EMFD,EQUITY,,true,2026-08-25
EXPA,EXPA,EXPA,EQUITY,,true,2026-08-25
ZEOT,ZEOT,ZEOT,EQUITY,,true,2026-08-25
ESRS,ESRS,ESRS,EQUITY,,false,
FAIT,FAIT,FAIT,EQUITY,,true,2026-08-25
FWRY,FWRY,FWRY,EQUITY,,true,2026-08-25
FERC,FERC,FERC,EQUITY,,true,2026-08-25
FIRE,FIRE,FIRE,EQUITY,,true,2026-08-25
FTNS,FTNS,FTNS,EQUITY,,true,2026-08-25
FCMD,FCMD,FCMD,EQUITY,,true,2026-08-25
GDWA,GDWA,GDWA,EQUITY,,true,2026-08-25
GBCO,GBCO,GBCO,EQUITY,,true,2026-08-25
PRCL,PRCL,PRCL,EQUITY,,true,2026-08-25
AALR,AALR,AALR,EQUITY,,true,2026-08-25
GSSC,GSSC,GSSC,EQUITY,,true,2026-08-25
GIHD,GIHD,GIHD,EQUITY,,true,2026-08-25
GGCC,GGCC,GGCC,EQUITY,,true,2026-08-25
BIOC,BIOC,BIOC,EQUITY,,true,2026-08-25
GTHE,GTHE,GTHE,EQUITY,,true,2026-08-25
GMCI,GMCI,GMCI,EQUITY,,true,2026-08-25
GGRN,GGRN,GGRN,EQUITY,,true,2026-08-25
GOCO,GOCO,GOCO,EQUITY,,true,2026-08-25
GTWL,GTWL,GTWL,EQUITY,,true,2026-08-25
GOUR,GOUR,GOUR,EQUITY,,true,2026-08-25
GPIM,GPIM,GPIM,EQUITY,,true,2026-08-25
GRCA,GRCA,GRCA,EQUITY,,true,2026-08-25
CCRS,CCRS,CCRS,EQUITY,,true,2026-08-25
HELI,HELI,HELI,EQUITY,,true,2026-08-25
HBCO,HBCO,HBCO,EQUITY,,true,2026-08-25
HDBK,HDBK,HDBK,EQUITY,,true,2026-08-25
ISPH,ISPH,ISPH,EQUITY,,true,2026-08-25
IEEC,IEEC,IEEC,EQUITY,,true,2026-08-25
ENGC,ENGC,ENGC,EQUITY,,true,2026-08-25
INEG,INEG,INEG,EQUITY,,true,2026-08-25
IFAP,IFAP,IFAP,EQUITY,,true,2026-08-25
IBCT,IBCT,IBCT,EQUITY,,true,2026-08-25
ICID,ICID,ICID,EQUITY,,true,2026-08-25
ICLE,ICLE,ICLE,EQUITY,,true,2026-08-25
DIFC,DIFC,DIFC,EQUITY,,true,2026-08-25
ISMQ,ISMQ,ISMQ,EQUITY,,true,2026-08-25
ISMA,ISMA,ISMA,EQUITY,,true,2026-08-25
INFI,INFI,INFI,EQUITY,,true,2026-08-25
JUFO,JUFO,JUFO,EQUITY,,true,2026-08-25
KZPC,KZPC,KZPC,EQUITY,,true,2026-08-25
CPCI,CPCI,CPCI,EQUITY,,true,2026-08-25
KORA,KORA,KORA,EQUITY,,true,2026-08-25
LCSW,LCSW,LCSW,EQUITY,,true,2026-08-25
LUTS,LUTS,LUTS,EQUITY,,true,2026-08-25
MCRO,MCRO,MCRO,EQUITY,,true,2026-08-25
MASR,MASR,MASR,EQUITY,,true,2026-08-25
MPCO,MPCO,MPCO,EQUITY,,true,2026-08-25
MMAT,MMAT,MMAT,EQUITY,,true,2026-08-25
MAAL,MAAL,MAAL,EQUITY,,true,2026-08-25
